,Fecha,Maquina,Turno,Produccion,Horas_parada,Averia
73,2025-04-18,Torno 5,Tarde,197.0,0.7,No
74,2025-04-18,Torno 5,Noche,194.0,0.6,No
75,2025-04-19,Torno 1,Mañana,164.0,1.3,No
76,2025-04-19,Torno 1,Tarde,87.0,2.0,No
77,2025-04-19,Torno 1,Noche,57.0,1.3,No
78,2025-04-19,Torno 2,Mañana,79.0,1.3,No
79,2025-04-19,Torno 2,Tarde,110.0,1.0,No
80,2025-04-19,Torno 2,Noche,98.0,0.1,No
81,2025-04-19,Torno 3,Mañana,95.0,1.8,No
82,2025-04-19,Torno 3,Tarde,86.0,1.9,No
83,2025-04-19,Torno 3,Noche,144.0,1.9,No
84,2025-04-19,Torno 4,Mañana,116.0,0.3,No
85,2025-04-19,Torno 4,Tarde,103.0,1.4,No
86,2025-04-19,Torno 4,Noche,73.0,0.4,No
87,2025-04-19,Torno 5,Mañana,176.0,1.0,No
88,2025-04-19,Torno 5,Tarde,66.0,1.7,Sí
89,2025-04-19,Torno 5,Noche,88.0,0.6,No
90,2025-04-20,Torno 1,Mañana,148.0,0.5,No
91,2025-04-20,Torno 1,Tarde,109.0,1.0,No
92,2025-04-20,Torno 1,Noche,69.0,1.3,No
93,2025-04-20,Torno 2,Mañana,193.0,0.1,No
94,2025-04-20,Torno 2,Tarde,192.0,0.8,Sí
95,2025-04-20,Torno 2,Noche,135.0,0.7,Sí
96,2025-04-20,Torno 3,Mañana,174.0,1.7,No
97,2025-04-20,Torno 3,Tarde,98.0,0.1,No
98,2025-04-20,Torno 3,Noche,103.0,1.1,No
99,2025-04-20,Torno 4,Mañana,57.0,1.5,No
100,2025-04-20,Torno 4,Tarde,54.0,0.9,No
101,2025-04-20,Torno 4,Noche,165.0,0.8,No
102,2025-04-20,Torno 5,Mañana,101.0,0.3,No
103,2025-04-20,Torno 5,Tarde,155.0,0.6,No
104,2025-04-20,Torno 5,Noche,112.0,0.9,No
