Empresa,Producto,Cantidad,Costo_unitario,Costo_total
Distribuciones Norte,Componentes eléctricos,435,26.78,11649.3
Industrias Rápidas,Lubricantes,39,57.27,2233.53
Mecánica Galicia,Componentes eléctricos,210,142.01,29822.1
Distribuciones Norte,Material de embalaje,85,55.25,4696.25
LogiTrans,Herramientas,424,82.63,35035.12
Mecánica Galicia,Material de embalaje,54,108.42,5854.68
LogiTrans,Herramientas,364,60.91,22171.24
Distribuciones Norte,Lubricantes,392,146.05,57251.6
TecnoEnvases,Herramientas,6,144.74,868.44
Distribuciones Norte,Piezas metálicas,394,45.25,17828.5
LogiTrans,Componentes eléctricos,58,79.61,4617.38
Mecánica Galicia,Componentes eléctricos,110,52.12,5733.2
Industrias Rápidas,Piezas metálicas,264,49.88,13168.32
Distribuciones Norte,Material de embalaje,314,15.16,4760.24
Mecánica Galicia,Piezas metálicas,481,95.34,45858.54
TecnoEnvases,Lubricantes,195,80.38,15674.1
TecnoEnvases,Lubricantes,406,17.21,6987.26
TecnoEnvases,Componentes eléctricos,222,49.01,10880.22
Mecánica Galicia,Lubricantes,48,137.16,6583.68
Distribuciones Norte,Componentes eléctricos,166,43.54,7227.64
Mecánica Galicia,Piezas metálicas,206,30.29,6239.74
